name,category,lat,lon
TotalEnergies,fuel,43.547982,3.7955488
Total,fuel,43.6080875,3.9130199
Intermarché,fuel,43.6135105,3.8091387
Station Agip,fuel,43.5788519,3.8767817
Station Dyneff,fuel,43.4156468,3.7196304
Total Access,fuel,43.5950303,3.848338
,fuel,43.4427238,3.6968474
Relais Total de Mauguio,fuel,43.6182776,3.9884548
Station Dyneff,fuel,43.5797571,3.9526844
Station Charvet,fuel,43.4482792,3.6429293
Intermarché,fuel,43.6834079,4.1520349
Auchan,fuel,43.5707585,3.9416495
Le Corum,attraction,43.6130054,3.8821409
Montpellier Prefecture,post_office,43.610861,3.8771385
Peugeot Montpellier,car_repair,43.5828023,3.8808803
IRM Comédie,doctors,43.6093105,3.8801472
Arc de Triomphe,parking,43.6110152,3.8732333
Foch Préfecture,parking_entrance,43.6105956,3.87648
Musée Albert Dubout,museum,43.5342466,3.9343423
Pharmacie Cayrol,pharmacy,43.6302731,3.8853216
,recycling,43.6314566,3.8839832
Pharmacie de l'Aiguelongue,pharmacy,43.6277293,3.8814871
,recycling,43.6330488,3.8815743
,recycling,43.6272455,3.8818727
,parking,43.6282333,3.8809543
Médiathèque Paul Langevin,library,43.6263549,3.8824745
,recycling,43.6303518,3.8848125
,recycling,43.6294839,3.8781316
Rebuffy,pub,43.6106702,3.875417
O' Carolans,pub,43.6104969,3.8745611
The Shakespeare,pub,43.6105855,3.8784429
Fitzpatrick's,pub,43.608249,3.8765472
,recycling,43.6350793,3.8785854
Jacou,post_office,43.6590483,3.9125765
Pharmacie de Jacou,pharmacy,43.6590639,3.9127322
La Belle Meunière,bakery,43.6591221,3.9130728
La Table des Copains,pub,43.6594048,3.9126009
police municipale,police,43.6608683,3.9102462
,bicycle_parking,43.6261985,3.8825564
,bicycle_parking,43.6262281,3.8877023
,bicycle_parking,43.6302591,3.9021559
,bicycle_parking,43.6284277,3.8973717
Total,fuel,43.6264875,3.8764609
Montpellier Avenue de La Justice,post_office,43.627199,3.875155
Bruno,butcher,43.6271465,3.8750095
Pharmacie des Lettres,pharmacy,43.6296465,3.8710114
Ebéne,cafe,43.610219,3.87751
Police Nationale,police,43.6054438,3.8810015
Statue équestre de Louis XIV,artwork,43.6112535,3.870765
Pharmacie des Beaux-Arts,pharmacy,43.6155749,3.8809763
,parking,43.5260487,3.9270815
,bicycle_parking,43.6328014,3.8914826
,parking,43.7135834,4.1302124
,toilets,43.4935614,3.7185263
,toilets,43.5447211,3.7952533
,toilets,43.5490105,3.796498
,recycling,43.6267314,3.8753652
,recycling,43.6279906,3.8736309
,recycling,43.628487,3.8715408
LCL,bank,43.6271167,3.8706296
